algo,calls,dead_ends,density,expansions,hp,masks_processed,n,p,prunes_deg0_remaining,prunes_reach,states_reached,status,time_sec,transitions,trial
BT,0,0,sparse,0,False,,10,0.15,0,0,,rejected_by_sanity,0.0,,0
DP,,,sparse,,False,19,10,0.15,,,18,ok,4.3145992094650865e-05,18,0
BT,0,0,sparse,0,False,,10,0.15,0,0,,rejected_by_sanity,0.0,,1
DP,,,sparse,,False,17,10,0.15,,,14,ok,3.4725002478808165e-05,14,1
BT,0,0,sparse,0,False,,10,0.15,0,0,,rejected_by_sanity,0.0,,2
DP,,,sparse,,False,136,10,0.15,,,318,ok,0.00015207502292469144,365,2
BT,0,0,sparse,0,False,,10,0.15,0,0,,rejected_by_sanity,0.0,,3
DP,,,sparse,,False,15,10,0.15,,,10,ok,2.45039991568774e-05,10,3
BT,0,0,sparse,0,False,,10,0.15,0,0,,rejected_by_sanity,0.0,,4
DP,,,sparse,,False,31,10,0.15,,,42,ok,3.719900269061327e-05,42,4
BT,10,0,dense,9,True,,10,0.5,0,0,,ok,9.827199392020702e-05,,0
DP,,,dense,,True,609,10,0.5,,,2371,ok,0.0012200589990243316,4497,0
BT,10,0,dense,9,True,,10,0.5,0,0,,ok,8.232498657889664e-05,,1
DP,,,dense,,True,723,10,0.5,,,3015,ok,0.00152133300434798,6359,1
BT,10,0,dense,9,True,,10,0.5,0,0,,ok,7.256900426000357e-05,,2
DP,,,dense,,True,673,10,0.5,,,2788,ok,0.0012807489838451147,6105,2
BT,0,0,dense,0,False,,10,0.5,0,0,,rejected_by_sanity,0.0,,3
DP,,,dense,,False,208,10,0.5,,,715,ok,0.00030311502632685006,1377,3
BT,10,0,dense,9,True,,10,0.5,0,0,,ok,7.244499283842742e-05,,4
DP,,,dense,,True,531,10,0.5,,,1964,ok,0.0009476609993726015,3760,4
BT,0,0,sparse,0,False,,20,0.15,0,0,,rejected_by_sanity,0.0,,0
DP,,,sparse,,False,7145,20,0.15,,,23827,ok,0.036922494997270405,27453,0
BT,0,0,sparse,0,False,,20,0.15,0,0,,rejected_by_sanity,0.0,,1
DP,,,sparse,,False,26281,20,0.15,,,114153,ok,0.09556898698792793,172524,1
BT,0,0,sparse,0,False,,20,0.15,0,0,,rejected_by_sanity,0.0,,2
DP,,,sparse,,False,7497,20,0.15,,,23668,ok,0.03451942201354541,26526,2
BT,0,0,sparse,0,False,,20,0.15,0,0,,rejected_by_sanity,0.0,,3
DP,,,sparse,,False,1063,20,0.15,,,2409,ok,0.016771536000305787,2508,3
BT,0,0,sparse,0,False,,20,0.15,0,0,,rejected_by_sanity,0.0,,4
DP,,,sparse,,False,1103,20,0.15,,,2802,ok,0.01850758498767391,3158,4
BT,20,0,dense,19,True,,20,0.5,0,0,,ok,0.0003006339829880744,,0
DP,,,dense,,True,971054,20,0.5,,,9328347,ok,12.183445223985473,39982394,0
BT,20,0,dense,19,True,,20,0.5,0,0,,ok,0.000769760983530432,,1
DP,,,dense,,True,991448,20,0.5,,,9626928,ok,14.083388011000352,44430424,1
BT,20,0,dense,19,True,,20,0.5,0,0,,ok,0.00034394499380141497,,2
DP,,,dense,,True,985006,20,0.5,,,9542089,ok,14.608887653972488,44045305,2
BT,20,0,dense,19,True,,20,0.5,0,0,,ok,0.000271158991381526,,3
DP,,,dense,,True,895213,20,0.5,,,8312520,ok,10.358491303020855,31662631,3
BT,20,0,dense,19,True,,20,0.5,0,0,,ok,0.000246091018198058,,4
DP,,,dense,,True,874205,20,0.5,,,8109657,ok,11.875963683996815,35390758,4
BT,941,0,sparse,940,True,,30,0.15,232,247,,ok,0.007043346005957574,,0
DP,,,sparse,,,,30,0.15,,,,skipped_n_gt_24,,,0
BT,0,0,sparse,0,False,,30,0.15,0,0,,rejected_by_sanity,0.0,,1
DP,,,sparse,,,,30,0.15,,,,skipped_n_gt_24,,,1
BT,0,0,sparse,0,False,,30,0.15,0,0,,rejected_by_sanity,0.0,,2
DP,,,sparse,,,,30,0.15,,,,skipped_n_gt_24,,,2
BT,30,0,sparse,29,True,,30,0.15,0,0,,ok,0.0003834530070889741,,3
DP,,,sparse,,,,30,0.15,,,,skipped_n_gt_24,,,3
BT,30,0,sparse,29,True,,30,0.15,0,0,,ok,0.0003389269986655563,,4
DP,,,sparse,,,,30,0.15,,,,skipped_n_gt_24,,,4
BT,30,0,dense,29,True,,30,0.5,0,0,,ok,0.0006403739971574396,,0
DP,,,dense,,,,30,0.5,,,,skipped_n_gt_24,,,0
BT,30,0,dense,29,True,,30,0.5,0,0,,ok,0.0006534759886562824,,1
DP,,,dense,,,,30,0.5,,,,skipped_n_gt_24,,,1
BT,30,0,dense,29,True,,30,0.5,0,0,,ok,0.000571393989957869,,2
DP,,,dense,,,,30,0.5,,,,skipped_n_gt_24,,,2
BT,30,0,dense,29,True,,30,0.5,0,0,,ok,0.000570867006899789,,3
DP,,,dense,,,,30,0.5,,,,skipped_n_gt_24,,,3
BT,30,0,dense,29,True,,30,0.5,0,0,,ok,0.0005823830142617226,,4
DP,,,dense,,,,30,0.5,,,,skipped_n_gt_24,,,4
BT,40,0,sparse,39,True,,40,0.15,0,0,,ok,0.0007024099759291857,,0
DP,,,sparse,,,,40,0.15,,,,skipped_n_gt_24,,,0
BT,40,0,sparse,39,True,,40,0.15,0,0,,ok,0.0005890770116820931,,1
DP,,,sparse,,,,40,0.15,,,,skipped_n_gt_24,,,1
BT,0,0,sparse,0,False,,40,0.15,0,0,,rejected_by_sanity,0.0,,2
DP,,,sparse,,,,40,0.15,,,,skipped_n_gt_24,,,2
BT,40,0,sparse,39,True,,40,0.15,0,0,,ok,0.0007644379802513868,,3
DP,,,sparse,,,,40,0.15,,,,skipped_n_gt_24,,,3
BT,0,0,sparse,0,False,,40,0.15,0,0,,rejected_by_sanity,0.0,,4
DP,,,sparse,,,,40,0.15,,,,skipped_n_gt_24,,,4
BT,40,0,dense,39,True,,40,0.5,0,0,,ok,0.001461066014599055,,0
DP,,,dense,,,,40,0.5,,,,skipped_n_gt_24,,,0
BT,40,0,dense,39,True,,40,0.5,0,0,,ok,0.0012327849981375039,,1
DP,,,dense,,,,40,0.5,,,,skipped_n_gt_24,,,1
BT,40,0,dense,39,True,,40,0.5,0,0,,ok,0.0014508529857266694,,2
DP,,,dense,,,,40,0.5,,,,skipped_n_gt_24,,,2
BT,40,0,dense,39,True,,40,0.5,0,0,,ok,0.001229318993864581,,3
DP,,,dense,,,,40,0.5,,,,skipped_n_gt_24,,,3
BT,40,0,dense,39,True,,40,0.5,0,0,,ok,0.0014532979985233396,,4
DP,,,dense,,,,40,0.5,,,,skipped_n_gt_24,,,4
BT,50,0,sparse,49,True,,50,0.15,0,0,,ok,0.0010460950143169612,,0
DP,,,sparse,,,,50,0.15,,,,skipped_n_gt_24,,,0
BT,50,0,sparse,49,True,,50,0.15,0,0,,ok,0.0009857410041149706,,1
DP,,,sparse,,,,50,0.15,,,,skipped_n_gt_24,,,1
