algo,calls,dead_ends,density,expansions,hp,masks_processed,n,prunes_deg0_remaining,prunes_reach,states_reached,status,time_sec,transitions,trial
BT,10,0,sparse,9,True,,10,0,0,,ok,7.736400584690273e-05,,0
DP,,,sparse,,True,531,10,,,1916,ok_or_skipped,0.0014686129870824516,3135,0
BT,10,0,sparse,9,True,,10,0,0,,ok,9.406098979525268e-05,,1
DP,,,sparse,,True,469,10,,,1656,ok_or_skipped,0.0007766239868942648,2555,1
BT,10,0,sparse,9,True,,10,0,0,,ok,8.352601435035467e-05,,2
DP,,,sparse,,True,533,10,,,1927,ok_or_skipped,0.0008348020201083273,3078,2
BT,10,0,sparse,9,True,,10,0,0,,ok,6.8637978984043e-05,,3
DP,,,sparse,,True,547,10,,,1985,ok_or_skipped,0.0008278340101242065,3170,3
BT,10,0,sparse,9,True,,10,0,0,,ok,6.736701470799744e-05,,4
DP,,,sparse,,True,572,10,,,2097,ok_or_skipped,0.0008069559989962727,3387,4
BT,10,0,dense,9,True,,10,0,0,,ok,8.977600373327732e-05,,0
DP,,,dense,,True,864,10,,,3928,ok_or_skipped,0.0025944590161088854,9803,0
BT,10,0,dense,9,True,,10,0,0,,ok,7.225401350297034e-05,,1
DP,,,dense,,True,805,10,,,3585,ok_or_skipped,0.0018059209978673607,8852,1
BT,10,0,dense,9,True,,10,0,0,,ok,8.024400449357927e-05,,2
DP,,,dense,,True,904,10,,,4164,ok_or_skipped,0.0020996539969928563,10569,2
BT,10,0,dense,9,True,,10,0,0,,ok,6.862301961518824e-05,,3
DP,,,dense,,True,832,10,,,3711,ok_or_skipped,0.002279473003000021,9286,3
BT,10,0,dense,9,True,,10,0,0,,ok,7.992799510248005e-05,,4
DP,,,dense,,True,874,10,,,3963,ok_or_skipped,0.0025343260203953832,9971,4
BT,20,0,sparse,19,True,,20,0,0,,ok,0.00020138800027780235,,0
DP,,,sparse,,True,103140,20,,,503924,ok_or_skipped,0.4246595409931615,719403,0
BT,20,0,sparse,19,True,,20,0,0,,ok,0.00027059801504947245,,1
DP,,,sparse,,True,114766,20,,,572631,ok_or_skipped,0.4011274719960056,842253,1
BT,88,0,sparse,87,True,,20,13,18,,ok,0.000822528003482148,,2
DP,,,sparse,,True,113570,20,,,563521,ok_or_skipped,0.3830591430014465,840092,2
